"","stateabbr","block_fips","hu2010","hu2011","hu2012","hu2013","hu2014","hu2015","hu2016","hu2017","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","hh2010","hh2011","hh2012","hh2013","hh2014","hh2015","hh2016","hh2017","TractCode"
"10089864","VT",500019601001000,52,52,52,52,52,53,53,54,134,134,133,133,133,133,134,134,47,47,47,47,47,47.9038,47.9038,48.8076,"50001960100"
"10089865","VT",500019601001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089866","VT",500019601001002,53,53,53,53,53,53,53,55,102,102,101,101,101,101,101,101,40,40,40,40,40,40,40,41.5094,"50001960100"
"10089867","VT",500019601001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089868","VT",500019601001004,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089869","VT",500019601001005,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,2,2,2,2,2,2,2,2,"50001960100"
"10089870","VT",500019601001006,33,33,33,33,33,34,35,37,57,57,56,57,57,56,56,56,19,19,19,19,19,19.5758,20.1516,21.3032,"50001960100"
"10089871","VT",500019601001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089872","VT",500019601001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089873","VT",500019601001009,27,27,27,27,27,27,27,27,45,45,45,45,45,45,45,45,22,22,22,22,22,22,22,22,"50001960100"
"10089874","VT",500019601001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089875","VT",500019601001011,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,"50001960100"
"10089876","VT",500019601001012,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,"50001960100"
"10089877","VT",500019601001013,92,92,92,93,93,95,96,97,174,174,173,173,173,173,173,173,70,70,70,70.7609,70.7609,72.2827,73.0436,73.8045,"50001960100"
"10089878","VT",500019601001014,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,"50001960100"
"10089879","VT",500019601001015,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089880","VT",500019601001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089881","VT",500019601001017,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,"50001960100"
"10089882","VT",500019601001018,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089883","VT",500019601001019,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,"50001960100"
"10089884","VT",500019601001020,1,1,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0.8403,1.6806,1.6806,1.6806,1.6806,1.6806,"50001960100"
"10089885","VT",500019601001021,3,3,3,3,3,3,3,4,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,4,"50001960100"
"10089886","VT",500019601001022,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,"50001960100"
"10089887","VT",500019601001023,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8403,0.8403,0.8403,"50001960100"
"10089888","VT",500019601001024,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089889","VT",500019601001025,42,42,42,42,42,42,42,43,74,74,73,73,74,74,75,75,31,31,31,31,31,31,31,31.7381,"50001960100"
"10089890","VT",500019601001026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089891","VT",500019601001027,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,"50001960100"
"10089892","VT",500019601001028,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,"50001960100"
"10089893","VT",500019601001029,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,"50001960100"
"10089894","VT",500019601001030,11,11,11,11,11,11,11,11,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,"50001960100"
"10089895","VT",500019601001031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089896","VT",500019601001032,53,54,54,54,54,54,54,55,120,120,119,119,120,120,120,120,49,49.9245,49.9245,49.9245,49.9245,49.9245,49.9245,50.849,"50001960100"
"10089897","VT",500019601001033,4,4,4,4,5,5,5,5,8,8,8,8,8,8,8,8,4,4,4,4,5,5,5,5,"50001960100"
"10089898","VT",500019601001034,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089899","VT",500019601001035,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,"50001960100"
"10089900","VT",500019601001036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089901","VT",500019601001037,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,"50001960100"
"10089902","VT",500019601001038,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"50001960100"
"10089903","VT",500019601001039,16,16,16,16,16,16,16,17,24,24,24,24,24,24,24,24,15,15,15,15,15,15,15,15.9375,"50001960100"
"10089904","VT",500019601001040,22,22,22,22,22,22,22,22,44,44,44,44,44,44,44,44,20,20,20,20,20,20,20,20,"50001960100"
"10089905","VT",500019601001041,9,9,9,9,9,9,9,9,17,17,17,17,17,17,17,17,7,7,7,7,7,7,7,7,"50001960100"
"10089906","VT",500019601001042,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,"50001960100"
"10089907","VT",500019601001043,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,"50001960100"
"10089908","VT",500019601001044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089909","VT",500019601001045,14,14,14,14,14,14,14,14,24,24,24,24,24,24,24,24,10,10,10,10,10,10,10,10,"50001960100"
"10089910","VT",500019601001046,12,12,12,12,12,12,12,12,31,31,31,31,31,31,31,31,11,11,11,11,11,11,11,11,"50001960100"
"10089911","VT",500019601001047,13,13,13,13,13,13,13,13,42,43,43,43,43,43,43,43,13,13,13,13,13,13,13,13,"50001960100"
"10089912","VT",500019601001048,4,4,4,4,4,4,4,4,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,"50001960100"
"10089913","VT",500019601001049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089914","VT",500019601001050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089915","VT",500019601001051,4,4,4,4,5,5,6,6,12,12,12,12,12,12,12,12,4,4,4,4,5,5,6,6,"50001960100"
